File Name;Game Title;Rpi 1 Status;Rpi 2 Status;Rpi 3 Status;Parent;BIOS;Samples;Notes;Year;Manufacturer;Played
005;5;Untested;OK;OK;;;;;1981;Sega;
1941;1941 - Counter Attack (World);Untested;OK;OK;;;;;1990;Capcom;
1942;1942 (set 1);Untested;OK;OK;;;;;1984;Capcom;
1943;1943 - The Battle of Midway (US);Untested;OK;OK;;;;;1987;Capcom;
1943kai;1943 Kai - Midway Kaisen;Untested;OK;OK;;;;;1987;Capcom;
1944;1944: The Loop Master (US 000620);Untested;OK;OK;;;;;2000;Capcom, supported by Eighting/Raizing;
19xx;19XX: The War Against Destiny (US 951207);Untested;OK;OK;;;;;1996;Capcom;
2020bb;2020 Super Baseball (set 1);Untested;Untested;OK;;neogeo;;;1991;SNK / Pallas;
280zzzap;Datsun 280 Zzzap;Untested;Untested;OK;;;;;1976;Midway;
3countb;3 Count Bout / Fire Suplex;Untested;Untested;Untested;;neogeo;;;1993;SNK;
3kokushi;Sankokushi (Japan);Untested;Untested;Untested;;;;;1996;Mitchell;
3stooges;The Three Stooges In Brides Is Brides;Untested;Untested;Untested;;;;;1984;Mylstar;
3wonders;Three Wonders (World 910520);Untested;OK;OK;;;;;1991;Capcom;
40love;Forty-Love;Untested;Untested;Untested;;;;;1984;Taito Corporation;
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);Untested;Untested;Untested;;;;;1994;Jaleco;
4dwarrio;4-D Warriors;Untested;Untested;OK;;;;;1985;Coreland / Sega;
4enraya;4 En Raya;Untested;OK;Untested;;;;;1990;IDSA;
4in1;4 Fun in 1;Untested;OK;OK;;;;;1981;Armenia / Food and Fun;
64street;64th. Street - A Detective Story (World);Untested;OK;OK;;;;;1991;Jaleco;
720;720 Degrees (rev 4);Untested;OK;OK;;;;;1986;Atari Games;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);Untested;Untested;Untested;;;;;1990;Dynax;
88games;88 Games;Untested;Untested;OK;;;;;1988;Konami;
8ballact;Eight Ball Action (DK conversion);Untested;Untested;Untested;;;;;1984;Seatongrove Ltd (Magic Eletronics USA licence);
aafb;All American Football (rev E);Untested;Untested;Untested;;;;;1989;Leland Corp.;
